,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.1,2.2,3.0,16.9,27.1,4.4,296.2,341.6,4.9,4.9,0.4,0.7,9,71.4,70.2,47,37.7,https://img1.famulei.com/z/5694496/p/191/0720262833111_100X100.png,Tian,高天亮,打野,FPX,334,107,142,33
1,1,2,7.9,2.8,4.3,14.9,28.9,4.2,341.3,371.6,5.2,5.2,0.3,0.4,9,70.0,73.8,42,40.4,https://img1.famulei.com/z/5581706/p/191/0716232878979_100X100.png,Ning,高振宁,打野,iG,333,120,181,31
2,2,3,7.2,2.4,2.4,13.0,29.1,4.0,254.0,333.4,5.1,5.1,0.4,0.5,5,69.8,63.3,30,34.5,https://img1.famulei.com/z/5688126/p/191/0719505027823_100X100.png,beishang,姜志鹏,打野,WE,218,72,72,19
3,3,4,7.0,2.4,2.5,13.0,29.8,3.9,261.4,337.5,5.3,5.3,0.4,0.7,4,70.4,54.1,37,37.2,https://img1.famulei.com/z/5688126/p/191/0718284996172_100X100.png,Meteor,曾国豪,打野,BLG,262,90,96,20
4,4,5,7.1,2.2,1.4,9.4,25.8,3.7,181.1,305.1,4.4,4.4,0.3,0.7,3,65.8,66.7,24,30.1,https://img1.famulei.com/z/5599945/p/191/0719191523946_100X100.png,clearlove,明凯,打野,EDG,172,55,34,16
5,5,6,6.5,2.3,1.8,12.3,28.3,3.5,223.3,322.3,4.8,4.8,0.4,0.7,6,67.8,61.7,47,33.5,https://img1.famulei.com/z/2147483647/p/191/0720374460895_100X100.png,XX,熊宇龙,打野,TOP,306,109,86,29
6,6,7,6.8,2.6,2.0,12.0,30.2,3.3,225.8,332.1,5.3,5.3,0.4,0.7,4,73.4,50.0,22,35.1,https://img1.famulei.com/z/5612599/p/191/0716580580065_100X100.png,H4cker,杨志浩,打野,SN,151,59,45,11
7,7,8,7.0,3.0,3.2,15.3,28.4,3.3,283.2,341.1,4.9,4.9,0.3,0.7,6,74.4,57.5,40,37.4,https://img1.famulei.com/z/2776277/p/191/0716351847894_100X100.png,Karsa,洪浩轩,打野,RNG,283,123,128,23
8,8,9,5.6,2.9,3.3,17.1,27.5,3.1,310.4,355.7,5.5,5.5,0.5,0.5,5,72.8,58.5,41,35.8,https://img1.famulei.com/z/5688126/p/191/0719141934920_100X100.png,Xiaopeng,王鹏,打野,SDG,233,119,138,24
9,9,10,5.9,2.6,2.3,11.6,26.9,3.1,215.8,314.6,4.4,4.4,0.3,0.4,4,69.6,42.1,38,30.7,https://img1.famulei.com/z/1000043/p/191/0718124992287_100X100.png,Condi,向人杰,打野,LGD,227,100,89,16
10,10,11,5.7,2.5,1.7,13.1,28.1,3.0,229.4,312.2,4.9,4.9,0.5,0.7,4,73.4,36.8,38,33.1,https://img1.famulei.com/z/2581145/p/191/0719273763937_100X100.png,Sofm,黎光维,打野,SS,220,95,67,14
11,11,12,5.1,2.5,2.6,11.5,27.4,3.0,202.5,315.2,4.9,4.9,0.3,0.5,3,67.8,33.3,15,30.6,https://img1.famulei.com/z/5688126/p/191/0719185862970_100X100.png,Haro,陈文林,打野,EDG,77,38,39,5
12,12,13,6.9,2.9,2.0,15.3,26.5,3.0,264.1,324.6,4.7,4.7,0.4,0.4,2,69.2,39.1,23,31.6,https://img1.famulei.com/z/5688126/p/191/0719091611323_100X100.png,Ben4,涂欣成,打野,V5,159,68,46,9
13,13,14,6.7,3.0,2.2,13.8,26.5,2.9,220.9,315.3,4.5,4.5,0.2,0.4,2,75.9,38.9,18,28.6,https://img1.famulei.com/z/5688126/p/191/0720095419276_100X100.png,Penguin,赵帅,打野,OMG,121,55,40,7
14,14,15,6.2,3.0,2.5,11.5,27.3,2.9,221.3,326.7,4.8,4.8,0.3,0.5,1,73.4,36.4,11,31.8,https://img1.famulei.com/z/2985229/p/191/2617282888124_100X100.png,XiaoYao,XiaoYao,打野,RW,69,33,28,4
15,15,16,7.1,3.1,2.0,11.2,29.1,2.9,211.6,321.1,4.7,4.7,0.4,0.8,7,71.6,56.9,51,35.1,https://img1.famulei.com/z/5693948/p/191/0716442616313_100X100.png,Flawless,成衍俊,打野,JDG,367,160,105,29
16,16,17,6.1,2.5,1.0,13.3,26.3,2.8,217.5,306.1,4.8,4.8,0.3,0.8,2,71.4,22.7,22,31.6,https://img1.famulei.com/z/5688126/p/191/0720340456768_100X100.png,Xuzhu,李宇清,打野,RW,135,56,23,5
17,17,18,5.8,2.6,1.4,12.0,27.5,2.7,212.3,304.1,4.7,4.7,0.3,0.6,4,71.3,30.0,40,30.3,https://img1.famulei.com/z/5688126/p/191/0718463389604_100X100.png,Aix,李阳,打野,VG,234,107,57,12
18,18,19,6.0,3.6,3.0,13.3,27.8,2.4,260.6,313.1,4.6,4.6,0.3,0.6,1,68.1,33.3,15,33.8,https://img1.famulei.com/z/5688126/p/191/0716575263246_100X100.png,WeiWei,魏博涵,打野,SN,90,55,45,5
