,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,10.2,2.0,0.7,7.2,13.4,5.3,162.3,277.3,1.0,1.0,0.3,1.3,9,75.6,75.5,49,35.4,http://img1.famulei.com/z/0/p/1610/1218364315242_100X100.png,Biofrost,Vincent Wang,¸¨Öú,TSM,500,101,37,37
1,1,2,7.3,1.6,1.0,10.3,11.0,5.0,189.3,250.3,0.8,0.8,0.4,1.5,1,78.0,23.1,13,31.7,http://img1.famulei.com/z/0/p/175/2519094360470_100X100.png,Shady,Shady,¸¨Öú,P1,96,22,14,3
2,2,3,9.8,2.2,0.9,6.1,13.3,4.8,124.2,264.6,0.6,0.6,0.2,1.4,7,76.5,59.2,49,32.2,http://img1.famulei.com/z/0/p/1610/1214463422278_100X100.png,Smoothie,Andy Ta,¸¨Öú,C9,482,109,45,29
3,3,4,7.1,2.0,0.8,10.7,12.6,3.8,199.5,264.5,1.0,1.0,0.5,1.5,5,74.4,44.2,52,32.5,http://img1.famulei.com/z/0/p/175/2522045250109_100X100.png,Hakuho,Nickolas Surgent,¸¨Öú,ENVY,372,108,45,23
4,4,5,9.2,3.0,0.6,6.9,13.6,3.2,143.2,271.0,0.6,0.6,0.3,1.2,2,65.8,57.9,57,29.7,http://img1.famulei.com/z/0/p/1610/1217041061375_100X100.png,Aphromoo,Zaqueri Black,¸¨Öú,CLG,528,173,35,33
5,5,6,8.4,2.9,1.1,11.0,13.9,3.2,235.6,282.8,1.0,1.0,0.4,1.5,2,66.9,63.5,52,34.7,http://img1.famulei.com/z/0/p/175/2522095491208_100X100.png,Olleh,Kim Joo-sung,¸¨Öú,IMT,441,153,62,33
6,6,7,7.2,2.5,0.6,8.5,13.8,3.1,158.6,246.2,0.6,0.6,0.2,1.3,1,75.6,28.9,38,28.7,http://img1.famulei.com/z/0/p/175/2518575924077_100X100.png,Matt,Matt Elento,¸¨Öú,TL,275,96,26,11
7,7,8,7.7,2.9,0.3,6.1,15.3,2.8,115.7,263.5,1.4,1.4,0.3,1.4,2,70.1,36.4,33,29.0,http://img1.famulei.com/z/0/p/175/2518471813341_100X100.png,Xpecial,Alex Chu,¸¨Öú,DIG,257,96,13,12
8,8,9,7.7,2.9,0.6,7.0,15.9,2.8,137.5,281.2,0.7,0.7,0.2,1.7,1,75.6,54.5,33,32.8,http://img1.famulei.com/z/0/p/176/0915243682249_100X100.png,Adrian,Adrian Ma,¸¨Öú,P1,257,98,20,18
9,9,10,8.0,3.0,0.3,7.5,12.2,2.7,131.8,247.8,0.8,0.8,0.2,1.4,0,68.4,33.3,6,27.6,http://img1.famulei.com/z/0/p/1612/1617145450237_100X100.jpg,KonKwon,Kevin Kwon,¸¨Öú,APX ,48,18,2,2
10,10,11,5.6,2.6,0.6,6.1,15.5,2.4,118.8,263.3,1.0,1.0,0.2,1.3,3,63.8,37.2,43,26.2,http://img1.famulei.com/z/0/p/175/2518370553238_100X100.png,Gate,Austin Yu,¸¨Öú,EF,242,112,28,16
11,11,12,7.0,3.3,0.6,11.1,14.4,2.2,224.3,270.2,1.0,1.0,0.3,1.2,4,67.4,39.5,43,29.5,http://img1.famulei.com/z/0/p/175/2518065372780_100X100.png,LemonNation,Daerek Hart,¸¨Öú,FLY,301,145,28,17
12,12,13,6.7,3.4,0.8,11.5,14.9,2.2,206.5,253.9,0.6,0.6,0.3,1.4,1,68.6,51.7,29,29.5,http://img1.famulei.com/z/0/p/176/0915220799920_100X100.png,Big,Terry Chuong,¸¨Öú,EF,197,99,24,15
13,13,14,3.0,2.0,1.0,9.4,10.5,2.0,101.1,218.3,0.6,0.6,0.4,1.4,0,50.0,0.0,1,24.0,http://img1.famulei.com/z/0/p/176/0309350145769_100X100.png,SuKi,SuKi,¸¨Öú,XG,3,2,1,0
