,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,9.0,1.7,1.0,8.4,12.2,5.7,178.1,269.5,0.7,0.7,0.3,1.4,8,67.6,71.7,46,32.8,http://img1.famulei.com/z/0/p/1610/1214463422278_100X100.png,Smoothie,Andy Ta,¸¨Öú,C9,418,81,50,33
1,1,2,9.9,2.0,0.8,8.6,12.6,5.3,163.3,277.8,0.9,0.9,0.4,1.4,8,70.5,70.2,47,33.5,http://img1.famulei.com/z/0/p/1610/1218364315242_100X100.png,Biofrost,Vincent Wang,¸¨Öú,TSM,469,96,41,33
2,2,3,7.9,2.4,1.1,13.0,12.1,3.6,263.9,280.7,0.9,0.9,0.4,1.7,4,66.0,46.7,45,35.8,http://img1.famulei.com/z/0/p/171/2211562191506_100X100.png,Olleh,Kim Joo-sung,¸¨Öú,Immortals,358,111,51,21
3,3,4,10.1,3.0,0.7,9.6,15.7,3.6,198.1,275.7,0.8,0.8,0.3,1.3,0,75.9,81.2,16,34.5,http://img1.famulei.com/z/0/p/172/1311090316451_100X100.png,Stunt,William Chen,¸¨Öú,DIG,162,48,12,13
4,4,5,8.7,2.6,0.6,10.8,12.9,3.5,229.6,269.9,0.8,0.8,0.3,1.6,3,70.5,56.2,32,34.3,http://img1.famulei.com/z/0/p/176/0915243682249_100X100.png,Adrian,Adrian Ma,¸¨Öú,P1,279,84,21,18
5,5,6,8.4,2.7,0.7,8.8,13.0,3.3,164.1,257.0,0.7,0.7,0.4,1.4,7,70.8,45.5,44,30.9,http://img1.famulei.com/z/0/p/171/2212445697624_100X100.png,Xpecial,Alex Chu,¸¨Öú,DIG,370,121,34,20
6,6,7,6.6,2.4,1.1,15.2,11.9,3.2,305.1,269.3,0.8,0.8,0.4,1.2,4,62.5,31.1,45,31.8,http://img1.famulei.com/z/0/p/1612/1616213697193_100X100.png,Hakuho,Nickolas Surgent,¸¨Öú,ENVY,300,108,51,14
7,7,8,7.9,3.0,0.7,11.2,14.0,2.8,228.1,271.3,0.8,0.8,0.4,1.2,5,64.5,48.9,45,30.2,http://img1.famulei.com/z/0/p/171/1011574242260_100X100.png,LemonNation,Daerek Hart,¸¨Öú,FLY,359,138,35,22
8,8,9,8.8,3.5,0.7,8.7,12.7,2.6,179.3,265.4,0.8,0.8,0.3,1.1,6,65.7,0.0,45,28.5,http://img1.famulei.com/z/0/p/1610/1217041061375_100X100.png,Aphromoo,Zaqueri Black,¸¨Öú,CLG,397,160,33,23
9,9,10,7.4,3.6,1.1,10.7,15.4,2.3,217.6,268.3,0.8,0.8,0.3,1.5,3,64.2,34.9,43,32.6,http://img1.famulei.com/z/0/p/1612/1618144488161_100X100.jpg,Gate,Austin Yu,¸¨Öú,EF,322,158,50,15
10,10,11,7.7,3.9,0.9,10.7,14.3,2.1,211.2,256.8,0.7,0.7,0.3,1.4,0,68.5,36.6,41,30.6,http://img1.famulei.com/z/0/p/1612/1413215723889_100X100.png,Matt,Matt Elento,¸¨Öú,TL,318,163,39,15
11,11,12,3.0,2.6,0.6,12.1,10.3,1.3,217.3,222.1,0.6,0.6,0.3,1.3,0,64.2,0.0,5,23.8,http://img1.famulei.com/z/0/p/173/2701161767498_100X100.png,Shady,Shady,¸¨Öú,P1,15,13,3,0
12,12,13,4.0,5.5,0.0,9.3,15.6,0.7,128.5,215.3,0.7,0.7,0.3,1.1,0,50.0,0.0,2,20.2,http://img1.famulei.com/z/0/p/173/2700222471967_100X100.png,Joey,Joey,¸¨Öú,CLG,8,11,0,0
