,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,15.0,1.0,1.0,4.0,18.8,16.0,107.6,326.8,0.6,0.6,0.5,1.4,1,94.1,100.0,1,44.1,http://img1.famulei.com/z/0/p/178/1221040034058_100X100.png,G0ne,G0ne,¸¨Öú,MSC,15,1,1,1
1,1,2,8.5,1.6,0.3,6.1,12.4,5.3,125.2,269.5,1.0,1.0,0.3,1.4,3,70.9,65.9,44,30.4,http://img1.famulei.com/z/0/p/1610/1217523050130_100X100.png,Mithy,Alfonso Aguirre Rodriguez,¸¨Öú,G2,375,73,14,29
2,2,3,8.9,2.2,0.7,6.6,14.5,4.4,129.1,267.1,1.1,1.1,0.3,1.3,5,75.8,62.2,37,31.2,http://img1.famulei.com/z/0/p/1612/2811342356871_100X100.png,Chei,Sun-ho Choi,¸¨Öú,H2K,332,82,29,23
3,3,4,9.5,2.3,0.6,7.0,15.4,4.3,143.8,281.8,0.9,0.9,0.2,1.5,4,71.4,71.1,38,32.8,http://img1.famulei.com/z/0/p/171/2013104636827_100X100.png,Jesiz,Jesse Le,¸¨Öú,FNC,364,90,26,27
4,4,5,8.6,2.2,0.5,7.3,15.4,4.0,138.7,271.4,1.1,1.1,0.4,1.5,3,70.6,47.6,42,32.9,http://img1.famulei.com/z/0/p/171/2111242039414_100X100.png,IgNar,Lee Dong-geun,¸¨Öú,MSF,365,96,22,20
5,5,6,9.4,2.9,1.1,11.2,16.3,3.6,236.4,280.9,1.4,1.4,0.4,1.6,5,68.6,52.9,34,37.6,http://img1.famulei.com/z/0/p/1610/1218183276600_100X100.png,Mikyx,Mihael Mehle,¸¨Öú,SPY,321,100,40,18
6,6,7,6.0,2.4,1.0,7.0,17.2,2.9,134.0,259.3,1.5,1.5,0.2,1.3,4,63.8,41.4,29,28.4,http://img1.famulei.com/z/0/p/1610/1214321662099_100X100.png,Vander,Oskar Bogdan,¸¨Öú,H2K,176,70,29,12
7,7,8,6.3,2.9,1.0,7.6,13.3,2.4,142.6,271.4,1.0,1.0,0.3,1.4,2,67.0,42.4,33,28.6,http://img1.famulei.com/z/0/p/171/2210534019751_100X100.png,Wadid,Kim Bae-in,¸¨Öú,ROC,209,97,33,14
8,8,9,7.6,3.5,0.7,8.1,16.2,2.3,160.2,269.2,1.2,1.2,0.2,1.1,2,70.8,54.1,37,28.2,http://img1.famulei.com/z/0/p/1612/1914230840671_100X100.png,Hylissang,Zdravets Galabov,¸¨Öú,UOL,283,131,28,20
9,9,10,5.8,2.8,0.5,6.9,16.0,2.2,114.8,251.3,1.2,1.2,0.3,1.5,2,69.9,24.1,29,28.9,http://img1.famulei.com/z/0/p/176/0117410130166_100X100.png,sprattel,Hampus Abrahamsson,¸¨Öú,NIP,169,83,17,7
10,10,11,5.5,3.9,0.6,6.8,15.8,1.5,119.4,242.4,0.7,0.7,0.3,1.4,0,67.4,17.9,28,26.9,http://img1.famulei.com/z/0/p/176/0114401672975_100X100.png,dreams,Han Min-kook,¸¨Öú,MM,155,110,17,5
