,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.4,2.3,0.6,9.5,15.9,3.8,173.1,261.8,1.0,1.0,0.5,1.5,4,72.0,57.5,40,34.2,http://img1.famulei.com/z/0/p/171/2111242039414_100X100.png,IgNar,Lee Dong-geun,¸¨Öú,MSF,336,94,24,23
1,1,2,6.9,2.1,0.8,11.7,12.7,3.6,221.2,267.9,0.9,0.9,0.3,1.4,5,61.8,50.0,40,30.5,http://img1.famulei.com/z/0/p/171/2013104636827_100X100.png,Jesiz,Jesse Le,¸¨Öú,FNC,279,86,32,20
2,2,3,9.2,2.8,0.6,10.8,15.4,3.4,231.9,271.8,0.8,0.8,0.4,1.4,3,61.2,66.7,33,34.0,http://img1.famulei.com/z/0/p/1612/2811342356871_100X100.png,Chei,Sun-ho Choi,¸¨Öú,H2K,305,94,20,22
3,3,4,6.3,2.1,0.7,11.4,14.0,3.3,198.6,254.6,0.9,0.9,0.5,1.6,0,65.3,22.2,9,32.9,http://img1.famulei.com/z/0/p/173/1012074422074_100X100.png,AoD,Baltat Alin,¸¨Öú,Vitality,57,19,7,2
4,4,5,7.9,2.5,0.5,9.7,14.3,3.2,195.6,266.8,0.9,0.9,0.4,1.5,5,63.8,76.5,34,31.7,http://img1.famulei.com/z/0/p/1610/1217523050130_100X100.png,Mithy,Alfonso Aguirre Rodriguez,¸¨Öú,G2,269,88,17,26
5,5,6,7.1,2.4,0.6,8.9,13.2,3.1,180.7,253.9,0.9,0.9,0.4,1.6,2,67.3,45.2,31,32.1,http://img1.famulei.com/z/0/p/171/2210534019751_100X100.png,Wadid,Kim Bae-in,¸¨Öú,ROC,223,76,20,14
6,6,7,8.7,3.1,0.9,9.7,15.7,3.0,195.8,281.8,1.0,1.0,0.3,1.2,1,56.3,75.0,32,31.6,http://img1.famulei.com/z/0/p/1612/1914230840671_100X100.png,Hylissang,Zdravets Galabov,¸¨Öú,UOL,279,101,29,24
7,7,8,7.9,3.0,0.4,11.4,16.7,2.8,224.7,267.4,1.0,1.0,0.5,1.5,4,69.2,56.2,32,34.1,http://img1.famulei.com/z/0/p/1610/1218183276600_100X100.png,Mikyx,Mihael Mehle,¸¨Öú,SPY,255,96,15,18
8,8,9,4.8,3.1,0.7,12.6,13.9,1.7,214.1,247.4,0.9,0.9,0.3,1.4,1,60.5,20.7,29,27.8,http://img1.famulei.com/z/0/p/1612/1413112857606_100X100.png,Hustlin,Morgan Granberg,¸¨Öú,GIA,141,92,23,6
9,9,10,5.8,4.0,0.8,10.8,17.0,1.6,196.3,248.1,0.8,0.8,0.3,1.2,0,58.1,33.3,18,27.8,http://img1.famulei.com/z/0/p/1612/1318433410859_100X100.png,Hachani,Seung-chan HA,¸¨Öú,Vitality,106,72,15,6
10,10,11,4.5,4.7,0.1,10.4,16.4,0.9,192.2,233.9,0.8,0.8,0.3,1.2,0,60.5,0.0,14,24.8,http://img1.famulei.com/z/0/p/171/2012405557224_100X100.png,Hiiva,Aleksi Kaikkonen,¸¨Öú,OG,64,67,2,0
