,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,10.0,1.0,1.0,5.8,15.8,11.0,98.3,332.4,3.0,3.0,0.7,1.5,0,64.7,100.0,1,38.4,https://img1.famulei.com/z/2985229/p/186/1319185325102_100X100.png,Newt,金珍,辅助,LGD,10,1,1,1
1,1,2,7.2,1.6,1.1,10.1,13.9,5.2,179.5,254.8,1.7,1.7,0.4,1.4,10,74.0,64.7,51,32.3,https://img1.famulei.com/z/2985229/p/186/1311314134890_100X100.png,Lehends,Si-woo Son,辅助,GRF,370,82,59,33
2,2,3,6.0,1.6,0.5,7.1,13.7,4.0,119.9,250.9,1.8,1.8,0.4,1.5,6,71.1,55.6,45,29.5,http://img1.famulei.com/z/0/p/175/3112243916829_100X100.png,Key,Han-ki Kim,辅助,HLE,273,74,25,25
3,3,4,5.9,1.7,0.4,7.4,14.1,3.6,126.0,238.6,1.4,1.4,0.3,1.5,8,74.4,60.9,46,28.3,http://img1.famulei.com/z/0/p/172/2114030086769_100X100.png,COREJJ,赵恩仁,辅助,Gen,272,79,19,28
4,4,5,6.5,2.0,0.6,7.5,16.2,3.5,126.2,248.7,1.9,1.9,0.4,1.7,8,71.2,57.1,56,32.6,http://img1.famulei.com/z/0/p/172/2116045098516_100X100.png,TusiN,Park Jong-ik,辅助,AFs,367,114,39,32
5,5,6,6.1,2.0,0.9,6.8,14.7,3.4,130.0,243.9,1.6,1.6,0.4,1.8,5,68.3,66.7,48,32.3,http://img1.famulei.com/z/0/p/172/2115560530098_100X100.png,Mata,赵世衡,辅助,KT,297,99,44,32
6,6,7,5.5,2.0,0.7,6.9,14.3,3.0,117.4,240.4,1.4,1.4,0.3,1.5,4,62.6,61.7,47,28.3,http://img1.famulei.com/z/0/p/175/3112012093551_100X100.png,GorillA,Beomhyun Kang,辅助,KZ,261,97,36,29
7,7,8,5.0,2.0,1.0,4.3,16.7,3.0,64.6,262.9,2.0,2.0,0.5,1.9,0,60.0,0.0,1,32.8,https://img1.famulei.com/z/5693983/p/187/2122433325971_100X100.png,Asper,,辅助,HLE,5,2,1,0
8,8,9,4.1,1.7,0.5,8.3,13.2,2.6,120.8,231.9,1.8,1.8,0.4,1.6,2,68.4,20.9,43,28.1,https://img1.famulei.com/z/2985229/p/181/2914003792065_100X100.png,IgNar,Lee Dong-geun,辅助,bbq,178,75,24,9
9,9,10,5.4,2.4,1.1,6.7,15.7,2.6,122.8,250.0,1.6,1.6,0.4,1.6,1,69.2,52.6,38,31.0,https://img1.famulei.com/z/2985229/p/181/2415224296863_100X100.png,Effort,이상호 Lee Sang Ho,辅助,SKT,206,93,44,20
10,10,11,3.9,1.9,0.4,7.1,15.4,2.2,113.3,225.0,1.5,1.5,0.4,1.6,2,63.6,31.1,45,28.2,http://img1.famulei.com/z/2985229/p/1711/1714112219651_100X100.png,Nova,Park Chan-ho,辅助,APK,179,88,19,14
11,11,12,4.2,2.3,0.6,9.6,13.7,2.0,160.0,245.5,2.0,2.0,0.3,1.0,1,67.1,33.3,36,23.0,http://img1.famulei.com/z/0/p/172/2116470990907_100X100.png,Max,Jong-bin Jung,辅助,MVP,154,85,24,10
12,12,13,5.1,2.5,0.1,9.9,17.2,2.0,142.4,229.6,1.6,1.6,0.2,1.1,1,78.7,28.6,7,23.7,https://img1.famulei.com/z/5693983/p/187/2022182217376_100X100.png,Motive,,辅助,MVP,36,18,1,2
13,13,14,4.5,4.1,0.3,11.4,13.7,1.1,160.4,223.3,1.2,1.2,0.4,1.1,0,87.8,0.0,6,22.2,http://img1.famulei.com/z/0/p/172/2115112058022_100X100.png,Wolf,李在沅,辅助,SKT,27,25,2,0
14,14,15,1.0,3.0,0.0,9.8,18.6,0.3,143.1,215.4,2.2,2.2,0.1,0.8,0,100.0,0.0,1,15.6,https://img1.famulei.com/z/5688126/p/186/1413440855073_100X100.png,EdinPriqtel,Dinitar Piskov,辅助,ROC,1,3,0,0
