,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,9.1,1.3,0.8,7.9,15.0,7.5,159.8,266.0,1.6,1.6,0.3,1.3,6,68.0,88.9,27,32.5,http://img1.famulei.com/z/0/p/1610/1217185996871_100X100.png,SwordArt,∫˙À∂Ω‹,∏®÷˙,FW,248,36,24,24
1,1,2,6.7,1.6,0.6,7.7,14.4,4.4,137.3,253.7,1.8,1.8,0.3,1.4,4,68.5,55.3,38,29.4,http://img1.famulei.com/z/2985229/p/179/1917222785506_100X100.png,Kaiwing,Kaiwing,∏®÷˙,HKA,258,64,26,21
2,2,3,9.2,2.4,1.2,8.0,13.8,4.3,147.6,238.5,1.0,1.0,0.4,1.4,1,77.6,80.0,5,33.6,https://img1.famulei.com/z/5693983/p/181/1719144814084_100X100.png,ShiauC,Liu Chia-Hao (Ñ¢º“∫¿),∏®÷˙,FW,46,12,6,4
3,3,4,6.6,2.5,0.7,8.8,15.3,2.9,155.6,235.8,1.5,1.5,0.3,1.6,3,72.7,41.7,36,31.0,https://img1.famulei.com/z/5693983/p/181/2315290350463_100X100.png,Koala,¡÷÷æèä,∏®÷˙,GRX,239,90,28,15
4,4,5,7.2,2.9,0.4,7.1,14.8,2.6,130.0,228.3,1.2,1.2,0.2,1.3,0,63.2,47.6,42,26.7,http://img1.famulei.com/z/0/p/176/0720301648641_100X100.png,Ysera,ÕÙ◊⁄÷æ,∏®÷˙,JT,303,122,19,20
5,5,6,6.2,2.5,0.3,7.8,13.1,2.5,140.1,213.8,1.0,1.0,0.3,1.5,3,70.3,0.0,34,27.3,https://img1.famulei.com/z/5693983/p/181/2315494213664_100X100.png,Zest,÷x√˚‹é,∏®÷˙,AFR,214,88,11,11
6,6,7,5.9,2.6,0.5,6.8,13.3,2.4,116.6,236.9,1.3,1.3,0.3,1.3,2,69.4,45.2,31,25.7,http://img1.famulei.com/z/0/p/176/0721312472232_100X100.png,Dreamer,‘¯Ω®„¸,∏®÷˙,M17,183,82,17,14
7,7,8,5.6,2.6,0.6,9.7,14.0,2.4,172.6,235.1,1.3,1.3,0.5,1.4,1,65.7,32.0,25,29.6,http://img1.famulei.com/z/0/p/176/0721242984293_100X100.png,Albis,øµº“Œ¨,∏®÷˙,,142,66,17,8
8,8,9,4.5,3.0,2.5,13.1,29.0,2.3,233.5,295.1,4.0,4.0,0.4,0.4,0,70.4,35.7,14,30.5,https://img1.famulei.com/z/2985229/p/187/0214111481556_100X100.png,Nestea,–Ì±¶‘∂,¥Ú“∞,AHQ,64,42,36,5
9,9,10,5.5,3.0,0.5,8.2,11.5,2.0,115.5,220.4,1.2,1.2,0.2,1.7,0,57.1,0.0,2,27.6,https://img1.famulei.com/z/5693983/p/181/2315210887153_100X100.png,Tuna,Hsiao Yu-Wei ( í‚ïæS),∏®÷˙,AHQ,11,6,1,0
10,10,11,2.3,2.6,0.6,7.8,16.5,1.1,115.1,216.4,1.3,1.3,0.2,1.4,0,69.2,33.3,3,22.2,https://img1.famulei.com/z/3046263/p/188/1807500445458_100X100.png,Kino,Kino,∏®÷˙,AHQ,7,8,2,1
