,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.3,1.0,0.7,7.6,15.3,8.8,159.7,273.2,1.6,1.6,0.3,1.3,2,71.4,84.8,33,31.8,http://img1.famulei.com/z/0/p/1610/1217185996871_100X100.png,SwordArt,∫˙À∂Ω‹,∏®÷˙,FW,277,34,24,28
1,1,2,10.0,2.0,1.0,8.3,18.4,5.5,157.5,278.7,1.8,1.8,0.2,1.3,0,78.5,100.0,1,36.4,http://img1.famulei.com/z/5693983/p/181/1719144814084_100X100.png,ShiauC,Liu Chia-Hao (Ñ¢º“∫¿),∏®÷˙,FW,10,2,1,1
2,2,3,7.8,1.8,0.7,7.6,17.2,4.5,146.5,258.7,1.5,1.5,0.2,1.5,1,72.6,70.3,37,32.3,https://img1.famulei.com/z/5693983/p/181/2315290350463_100X100.png,Koala,¡÷÷æèä,∏®÷˙,GRX,290,70,26,26
3,3,4,5.0,1.8,0.0,6.9,15.9,2.7,114.8,270.3,2.8,2.8,0.5,1.6,0,71.4,20.0,5,30.2,http://img1.famulei.com/z/0/p/174/2616424675157_100X100.png,Destiny,Mitchell Shaw,∏®÷˙,DW,25,9,0,1
4,4,5,6.5,2.6,0.4,6.5,17.1,2.6,128.2,253.1,1.7,1.7,0.2,1.3,3,72.8,45.2,31,27.8,http://img1.famulei.com/z/0/p/176/0720301648641_100X100.png,Ysera,ÕÙ◊⁄÷æ,∏®÷˙,JT,203,82,14,14
5,5,6,5.4,2.2,0.5,8.1,16.0,2.6,166.9,246.0,1.6,1.6,0.3,1.4,1,64.8,33.3,30,28.2,http://img1.famulei.com/z/2985229/p/179/1917222785506_100X100.png,Kaiwing,Kaiwing,∏®÷˙,HKA,162,68,15,10
6,6,7,6.3,2.7,0.5,7.1,17.5,2.5,147.0,251.9,1.7,1.7,0.3,1.3,0,68.6,55.6,36,28.9,http://img1.famulei.com/z/0/p/176/0721312472232_100X100.png,Dreamer,‘¯Ω®„¸,∏®÷˙,M17,230,98,18,20
7,7,8,5.5,2.3,0.3,5.4,15.6,2.4,98.9,254.3,1.9,1.9,0.3,1.6,0,68.3,42.9,14,28.9,http://img1.famulei.com/z/5693983/p/181/1719181423561_100X100.png,Tuna,Hsiao Yu-Wei ( í‚ïæS),∏®÷˙,AHQ,77,33,5,6
8,8,9,6.2,2.9,0.7,8.9,17.1,2.3,178.3,240.2,1.6,1.6,0.3,1.3,0,77.2,23.3,30,30.0,https://img1.famulei.com/z/5693983/p/181/2315494213664_100X100.png,Zest,÷x√˚‹é,∏®÷˙,AFR,188,88,23,7
9,9,10,4.4,2.7,1.3,9.4,34.5,2.0,194.5,316.3,5.5,5.5,0.4,1.0,3,73.6,35.7,14,35.8,http://img1.famulei.com/z/2985229/p/1711/1714112219651_100X100.png,Nova,Park Chan-ho,¥Ú“∞,APK,62,39,19,5
10,10,11,6.0,3.1,0.3,6.5,15.7,2.0,128.8,239.0,1.6,1.6,0.4,1.5,0,64.7,50.0,16,29.5,http://img1.famulei.com/z/0/p/176/0721242984293_100X100.png,Albis,øµº“Œ¨,∏®÷˙,,97,50,6,8
11,11,12,1.0,5.0,1.0,11.6,24.3,0.4,131.7,247.0,2.7,2.7,0.1,1.2,0,50.0,0.0,1,23.1,https://img1.famulei.com/z/3046263/p/181/2011573910929_100X100.png,Boris,Mitch Voorspoels,∏®÷˙,S04,1,5,1,0
