,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.8,1.5,0.8,6.6,13.0,6.1,115.7,254.5,1.7,1.7,0.2,1.3,12,70.2,54.9,51,30.4,http://img1.famulei.com/z/2985229/p/181/1018370172763_100X100.png,YOON,KIMBYUNGYOON,¸¨Öú,SNG,452,80,43,28
1,1,2,9.2,2.1,0.8,8.0,15.3,4.6,150.6,249.7,1.3,1.3,0.3,1.6,8,71.8,66.1,59,34.1,http://img1.famulei.com/z/2985229/p/181/1018564741816_100X100.png,Ming,Ê·É­Ã÷,¸¨Öú,RNG,545,127,48,39
2,2,3,8.9,2.2,0.9,7.7,16.6,4.3,163.5,260.7,1.7,1.7,0.2,1.5,7,66.2,70.7,58,33.6,http://img1.famulei.com/z/2733194/p/176/0611350382962_100X100.png,baolan,ÍõÁøôà,¸¨Öú,iG,517,133,55,41
3,3,4,9.2,2.5,0.8,9.8,15.6,4.0,185.4,255.3,1.4,1.4,0.2,1.4,7,72.5,56.0,50,32.2,http://img1.famulei.com/z/2985229/p/181/1113572316813_100X100.png,meiko,ÌïÒ°,¸¨Öú,EDG,461,126,43,28
4,4,5,6.9,2.1,0.5,9.8,17.7,3.4,180.7,243.7,1.4,1.4,0.2,1.2,0,68.3,54.5,11,28.3,http://img1.famulei.com/z/2985229/p/181/1018321786561_100X100.png,Ben,ÄÏ¶«ÏÍ,¸¨Öú,WE,76,24,6,6
5,5,6,5.4,2.4,2.8,28.5,16.0,3.4,519.5,400.0,8.9,8.9,0.2,0.4,6,67.8,47.3,55,32.5,http://img1.famulei.com/z/2985229/p/181/1018391993112_100X100.png,Qiuqiu,ÕÅÃ÷,ADC,TOP,299,133,154,26
6,6,7,8.1,2.7,1.0,9.0,13.3,3.3,174.8,263.9,1.4,1.4,0.2,1.6,5,69.9,62.3,53,32.4,http://img1.famulei.com/z/2985229/p/181/1018341875373_100X100.png,Killua,Áõµ¤Ñô,¸¨Öú,RW,431,147,55,33
7,7,8,8.0,2.6,0.6,7.3,16.2,3.2,134.1,241.7,1.3,1.3,0.2,1.4,4,69.7,61.5,65,29.0,http://img1.famulei.com/z/2985229/p/181/1019011619315_100X100.png,LvMao,×óÃûºÀ,¸¨Öú,JDG,521,172,44,40
8,8,9,6.8,2.3,0.6,8.9,16.8,3.2,146.2,240.2,1.5,1.5,0.2,1.3,2,73.2,25.0,15,27.9,http://img1.famulei.com/z/2985229/p/181/1018361955100_100X100.png,Hudie,ÁõÑå×¡,ADC,Snake,102,35,10,7
9,9,10,7.6,2.7,0.8,7.8,16.0,3.1,137.8,245.0,1.4,1.4,0.3,1.6,6,74.0,42.9,49,32.0,https://img1.famulei.com/z/2986066/p/186/0717465574269_100X100.png,Crisp,ÁõÇàËÉ,¸¨Öú,FPX,375,133,44,21
