,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.5,1.2,0.9,9.5,14.5,7.3,161.1,281.0,1.9,1.9,0.3,1.5,2,70.2,73.8,42,33.4,https://img1.famulei.com/z/2985229/p/186/1311314134890_100X100.png,Lehends,Si-woo Son,¸¨Öú,GRF,357,54,39,31
1,1,2,8.4,2.0,0.9,6.7,16.0,4.6,123.3,273.0,1.8,1.8,0.3,1.7,2,72.7,68.2,44,34.2,https://img1.famulei.com/z/5688126/p/189/2613510698828_100X100.png,TusiN,Park Jong-ik,¸¨Öú,KZ,372,89,42,30
2,2,3,7.2,1.8,0.4,6.5,11.0,4.1,111.0,244.6,1.0,1.0,0.4,1.8,0,80.5,28.6,7,31.2,https://img1.famulei.com/z/2985229/p/186/0717322934491_100X100.png,Proud,ÀîÕþÔÚ,¸¨Öú,AF,51,13,3,2
3,3,4,7.6,2.0,0.6,5.9,14.9,4.0,107.5,258.7,1.7,1.7,0.3,1.7,4,67.9,74.0,50,31.5,https://img1.famulei.com/z/5688126/p/191/0916284821684_100X100.png,Mata,ÕÔÊÀºâ,¸¨Öú,SKT,381,101,32,37
4,4,5,8.1,2.2,0.5,6.7,14.2,3.8,119.4,268.8,1.7,1.7,0.4,1.6,3,74.7,53.3,30,32.1,https://img1.famulei.com/z/5688126/p/1812/1714404795692_100X100.png,Hoit,Ryu Ho-seung,¸¨Öú,DWG,244,67,16,16
5,5,6,6.0,2.4,0.5,7.3,15.1,2.7,115.2,263.6,1.8,1.8,0.4,1.6,3,69.6,47.6,42,29.7,https://img1.famulei.com/z/0/p/175/3112243916829_100X100.png,Key,Han-ki Kim,¸¨Öú,HLE,253,101,23,20
6,6,7,5.7,2.5,0.6,7.4,14.8,2.5,114.0,253.3,1.5,1.5,0.2,1.6,2,73.9,36.4,44,27.2,https://img1.famulei.com/z/5688126/p/188/3120183193427_100X100.png,Life,Kim Jeong-min ,¸¨Öú,Gen,253,112,28,16
7,7,8,6.7,3.0,0.4,8.2,17.0,2.3,149.8,271.8,1.9,1.9,0.4,1.8,5,65.6,61.7,47,33.3,https://img1.famulei.com/z/5688126/p/1812/1714383948794_100X100.png,joker,Jo Jae-eup,¸¨Öú,SB,319,144,21,29
8,8,9,6.7,3.0,0.5,6.1,17.0,2.3,106.8,249.3,2.0,2.0,0.3,1.7,1,67.5,61.1,18,30.5,https://img1.famulei.com/z/5688126/p/1812/1714403051877_100X100.png,BeryL,Jo Geon-hui,¸¨Öú,DWG,122,55,9,11
9,9,10,6.5,2.9,0.5,7.5,15.2,2.3,126.0,250.7,1.7,1.7,0.4,1.4,0,69.8,31.0,42,29.0,https://img1.famulei.com/z/5688126/p/189/2814293427407_100X100.png,SnowFlower,Hoei-jong No,¸¨Öú,KT,277,125,22,13
10,10,11,5.9,3.1,0.3,7.6,16.4,2.0,116.5,236.1,1.6,1.6,0.3,1.4,0,67.2,30.4,23,27.1,https://img1.famulei.com/z/2985229/p/181/2914073069545_100X100.png,Jelly,Son Ho-gyeong,¸¨Öú,AF,137,72,9,7
11,11,12,5.3,3.1,0.4,7.8,15.9,1.8,123.4,227.8,1.7,1.7,0.2,1.8,0,65.8,33.3,9,28.9,https://img1.famulei.com/z/5688126/p/192/1913283758309_100X100.png,Senan,Park Hee-seok,¸¨Öú,AF,48,28,4,3
12,12,13,4.2,3.0,0.0,6.6,14.3,1.4,94.2,232.2,1.5,1.5,0.2,1.4,0,63.5,4.5,22,22.5,https://img1.famulei.com/z/5688126/p/1812/1414561782857_100X100.png,Kellin,Kim Hyeong-gyu,¸¨Öú,JAG,94,67,2,1
13,13,14,3.7,2.9,0.2,8.2,17.2,1.3,110.4,238.9,1.9,1.9,0.4,1.6,0,64.6,12.5,16,26.8,https://img1.famulei.com/z/2985229/p/186/2215380648363_100X100.png,Nova,Park Chan-ho,¸¨Öú,JAG,60,47,4,2
