,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.2,2.2,0.8,8.0,14.5,4.1,153.8,278.3,1.7,1.7,0.2,1.4,4,73.1,43.2,37,31.3,https://img1.famulei.com/z/5688126/p/191/0716582218820_100X100.png,SwordArt,ºúË¶½Ü,¸¨Öú,SN,307,82,33,16
1,1,2,8.6,2.2,0.7,6.8,15.7,4.0,119.0,288.9,1.9,1.9,0.2,1.5,4,66.2,70.2,47,30.9,https://img1.famulei.com/z/2986066/p/191/0720263392115_100X100.png,Crisp,ÁõÇàËÉ,¸¨Öú,FPX,406,108,35,33
2,2,3,7.5,2.2,0.8,8.0,14.3,3.6,143.9,273.5,1.6,1.6,0.2,1.1,2,66.6,61.4,44,27.2,https://img1.famulei.com/z/2991280/p/191/0720385951747_100X100.png,Ben,ÄÏ¶«ÏÍ,¸¨Öú,TOP,330,101,36,27
3,3,4,8.2,2.3,0.5,6.7,13.6,3.6,120.6,279.0,1.7,1.7,0.2,1.3,2,71.3,57.5,40,27.5,https://img1.famulei.com/z/5688126/p/191/0719134550246_100X100.png,Mark,ÁèÐñ,¸¨Öú,SDG,331,95,20,23
4,4,5,10.9,3.3,1.0,8.3,16.6,3.6,189.6,273.0,1.5,1.5,0.2,1.4,1,68.9,73.8,42,36.2,https://img1.famulei.com/z/2733194/p/191/0716234430743_100X100.png,baolan,ÍõÁøôà,¸¨Öú,iG,461,139,45,31
5,5,6,7.9,2.4,0.7,7.9,15.9,3.5,147.8,276.9,1.8,1.8,0.2,1.3,3,70.0,53.8,39,29.3,https://img1.famulei.com/z/5599949/p/191/0719190777300_100X100.png,meiko,ÌïÒ°,¸¨Öú,EDG,309,95,30,21
6,6,7,8.5,2.6,0.7,6.6,15.6,3.5,133.4,276.2,1.8,1.8,0.2,1.4,2,68.0,56.2,32,30.1,https://img1.famulei.com/z/5688126/p/191/0718284322377_100X100.png,Mni,Åí·¼,¸¨Öú,BLG,275,85,23,18
7,7,8,9.0,2.9,1.0,8.6,16.3,3.3,159.9,280.9,1.6,1.6,0.2,1.5,4,72.6,57.5,40,32.3,https://img1.famulei.com/z/2992003/p/191/0716350035698_100X100.png,Ming,Ê·É­Ã÷,¸¨Öú,RNG,361,118,40,23
8,8,9,8.8,3.0,0.8,7.5,15.1,3.2,155.3,328.1,2.0,2.0,0.3,1.4,0,68.5,40.0,5,31.7,https://img1.famulei.com/z/5688126/p/191/0718285694223_100X100.png,Kine,Ð»³¬,¸¨Öú,BLG,44,15,4,2
9,9,10,8.6,2.8,0.5,9.0,17.5,3.1,168.2,295.0,2.0,2.0,0.2,1.4,3,70.2,53.8,39,31.2,https://img1.famulei.com/z/5688126/p/191/0719510087837_100X100.png,Missing,Â¦ÔË·å,¸¨Öú,WE,339,113,20,21
