,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.1,0.8,84939.6,9.8,14.2,71971.9,2.2,00:39:12,5.2,7.3,52.9,68.4,5.1,21,30.9,1845.4,2177.9,1.6,57.0,76.2,190.5,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,46,126,2058,560,809,16
1,2,37.9,0.8,84228.4,11.0,14.9,67150.4,2.1,00:35:34,4.5,7.7,61.0,51.1,4.7,19,32.0,1918.6,2406.5,1.3,58.6,57.9,193.7,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,36,95,1706,497,672,11
2,3,32.0,0.9,90403.4,11.1,12.7,73584.0,2.4,00:36:58,4.9,7.2,61.8,37.0,4.0,19,34.1,2044.0,2511.2,1.5,63.1,47.4,184.5,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,42,111,1470,510,582,9
3,4,25.5,0.9,84947.7,10.3,10.0,71806.4,2.0,00:40:16,7.0,6.3,52.9,56.1,3.4,18,31.4,1795.2,2123.7,1.6,46.9,55.6,167.1,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,37,83,1047,422,409,10
4,5,29.7,0.7,76007.5,12.2,10.9,65813.2,1.5,00:37:32,7.0,6.0,44.9,48.9,3.3,19,30.5,1778.7,2054.3,1.3,38.9,47.4,171.0,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,31,68,1338,550,490,9
5,6,23.4,0.8,81664.2,10.3,9.2,73189.5,2.0,00:42:42,7.3,5.9,42.2,44.4,3.1,18,30.6,1742.6,1944.4,1.6,45.5,50.0,158.0,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,35,90,1051,463,415,9
6,7,26.6,0.7,85005.0,11.7,10.8,72150.3,2.0,00:40:01,6.0,6.8,45.7,48.9,3.1,20,32.3,1803.8,2125.1,1.6,49.7,45.0,173.1,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,32,90,1199,528,488,9
7,8,27.2,0.9,74492.7,12.6,10.8,62981.4,1.8,00:35:32,6.7,5.8,55.4,46.3,3.0,18,29.9,1799.5,2128.4,1.3,49.7,61.1,167.3,https://img1.famulei.com/z/0/p/1612/2915480875853_100X100.png,MVP,36,75,1116,516,444,11
8,9,23.7,0.8,69664.9,12.0,9.0,64736.8,1.8,00:37:47,8.1,5.0,47.2,40.9,2.7,18,30.4,1749.6,1882.8,1.4,44.9,27.8,150.0,https://img1.famulei.com/z/0/p/1612/2915473790784_100X100.png,CJ,34,79,1043,528,396,5
9,10,21.6,0.6,66562.8,11.1,8.6,64045.3,1.7,00:37:24,7.2,5.0,38.8,53.3,2.7,18,30.9,1731.0,1799.0,1.5,45.0,27.8,149.5,https://img1.famulei.com/z/0/p/171/1618102315400_100X100.png,bbq,26,77,972,499,389,5
