,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,40.6,0.9,72500.1,9.7,16.1,62581.0,1.6,00:31:48,3.9,8.5,75.9,75.0,5.8,20,30.8,2018.7,2338.7,1.4,57.6,80.0,197.3,https://img1.famulei.com/z/0/p/1612/2915520666951_100X100.png,IMT,22,38,974,233,386,16
1,2,35.5,0.6,72082.8,11.6,13.4,61799.0,2.1,00:34:37,5.8,6.4,41.0,55.2,4.2,21,29.7,1817.6,2120.1,1.4,60.4,33.3,176.9,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,16,61,1030,336,388,7
2,3,35.5,0.6,73736.2,11.9,13.9,64931.9,2.0,00:35:22,5.8,7.5,46.3,40.0,4.1,21,30.1,1855.2,2106.7,1.4,56.7,61.9,182.6,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,19,59,1065,357,416,13
3,4,30.5,0.7,67267.3,11.2,12.1,62939.2,2.0,00:34:36,5.3,7.5,59.4,53.6,3.7,20,30.1,1851.2,1978.5,1.5,59.4,80.0,169.6,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,19,57,854,314,339,16
4,5,31.4,0.8,70100.0,13.0,13.3,59961.3,1.6,00:32:43,6.0,6.5,64.3,40.9,3.4,19,29.8,1873.8,2190.6,1.2,52.9,63.2,172.6,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,18,36,691,286,292,12
5,6,23.6,0.6,63685.7,10.9,8.4,64150.1,1.5,00:38:02,7.5,5.7,47.8,52.9,2.9,18,29.4,1688.2,1675.9,1.6,37.7,38.9,145.6,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,11,26,402,186,142,7
6,7,24.8,0.6,67826.6,12.5,10.2,63591.9,1.5,00:36:58,8.4,5.4,37.0,61.1,2.8,18,30.3,1766.4,1884.1,1.4,38.6,33.3,153.9,https://img1.famulei.com/z/0/p/1612/2915513967563_100X100.png,DIG,10,27,447,225,184,6
7,8,26.5,0.8,61588.4,13.2,10.1,58302.5,1.6,00:34:42,7.5,5.5,53.6,15.0,2.7,19,28.2,1714.8,1811.4,1.4,42.1,42.1,156.1,https://img1.famulei.com/z/0/p/1612/2915523210531_100X100.png,NRG,15,32,530,264,201,8
8,9,26.5,0.7,70835.7,13.9,10.1,67033.1,1.7,00:38:30,8.1,5.9,44.4,55.6,2.6,18,30.2,1764.0,1864.1,1.5,40.5,33.3,161.3,https://img1.famulei.com/z/0/p/1612/2915534293541_100X100.png,REN,12,30,477,251,181,6
9,10,25.7,0.3,57943.6,13.8,9.7,54520.2,1.5,00:32:32,8.4,4.3,25.0,52.6,2.5,19,28.2,1703.8,1810.7,1.4,45.3,31.6,147.9,https://img1.famulei.com/z/0/p/1612/2915524058047_100X100.png,TIP,5,29,489,263,185,6
10,11,11.0,0.0,45934.0,16.0,5.0,44354.0,0.0,00:29:06,10.0,3.0,0.0,0.0,1.0,1,28.1,1529.4,1583.9,1.3,0.0,0.0,120.6,https://img1.famulei.com/z/0/p/1612/2915515950865_100X100.png,ENVY,0,0,11,16,5,0
