,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.5,1.0,81537.2,9.4,14.7,68798.5,2.3,00:36:02,4.4,8.4,67.6,38.6,5.4,20,31.2,1911.1,2264.9,1.3,65.8,80.0,194.1,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,46,100,1607,414,647,12
1,2,30.3,0.7,73118.2,9.2,11.6,63212.1,2.2,00:35:32,5.9,6.8,50.7,53.1,4.5,22,30.1,1806.1,2089.1,1.4,60.1,68.2,175.5,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,35,107,1487,453,569,13
2,3,31.6,0.8,74257.4,11.3,12.9,64766.2,1.7,00:35:19,5.6,6.8,57.4,57.8,3.9,20,31.5,1850.5,2121.6,1.3,50.3,30.0,176.1,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,35,75,1420,509,580,6
3,4,29.5,0.9,73929.2,10.6,11.4,67274.4,2.1,00:36:49,6.7,6.8,55.9,45.0,3.8,20,32.0,1868.7,2053.6,1.4,52.9,60.0,170.3,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,38,83,1181,425,457,8
4,5,31.6,0.8,73046.6,11.9,11.5,63821.4,1.9,00:35:52,6.6,6.4,52.4,57.5,3.6,19,30.8,1823.5,2087.0,1.3,52.4,63.2,175.6,https://img1.famulei.com/z/0/p/1612/2915490149059_100X100.png,GIA,33,77,1263,477,460,9
5,6,28.4,0.7,70717.2,11.1,10.6,63301.9,1.5,00:36:33,7.4,5.9,41.7,43.2,3.5,19,30.5,1758.4,1964.4,1.3,37.4,36.8,160.9,https://img1.famulei.com/z/5688126/p/191/2115403019890_100X100.png,S04,25,55,1049,409,394,4
6,7,27.1,0.6,69060.7,10.9,10.5,65055.7,2.1,00:37:03,7.0,6.0,37.7,59.5,3.4,19,30.2,1758.3,1866.5,1.3,49.0,42.1,162.6,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,23,76,1001,403,387,5
7,8,26.8,0.7,70749.2,13.2,11.6,61211.3,1.8,00:34:36,6.4,6.3,50.8,47.9,2.9,21,30.5,1800.3,2080.9,1.4,51.9,42.9,168.9,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,33,84,1284,633,557,8
8,9,28.3,0.5,75337.6,16.0,10.7,63320.9,1.7,00:37:18,8.0,5.2,34.5,38.9,2.4,18,29.0,1711.4,2036.2,1.2,40.7,27.8,166.0,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,19,61,1018,575,386,3
9,10,24.4,1.1,86625.9,14.1,10.1,71586.8,1.8,00:40:54,8.1,5.8,47.5,58.3,2.4,18,30.9,1789.7,2165.6,1.4,38.5,44.4,161.9,https://img1.famulei.com/z/5688126/p/191/2115402255657_100X100.png,OG,38,65,879,508,365,3
