,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,37.8,0.9,70445.3,9.9,15.7,59513.1,2.2,00:29:34,3.2,7.1,71.6,61.1,5.4,18,31.6,2052.2,2429.1,1.6,68.0,100.0,196.6,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,48,119,2039,532,850,18
1,2,40.7,1.0,88794.5,13.1,16.7,71661.3,2.4,00:37:47,5.0,7.8,62.7,60.4,4.3,18,31.3,1936.8,2399.9,1.5,65.0,72.2,202.1,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,47,117,1955,627,802,13
2,3,34.9,0.8,73155.5,12.1,14.1,67458.2,1.6,00:36:58,6.0,6.7,51.4,63.6,4.0,18,31.2,1873.8,2032.1,1.5,41.7,61.1,181.1,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,36,70,1535,532,621,11
3,4,37.8,0.9,81788.3,13.1,14.5,69305.0,2.1,00:38:13,5.6,6.9,57.6,43.6,3.9,19,30.2,1823.8,2152.3,1.4,52.8,57.9,184.9,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,49,114,2080,723,799,11
4,5,35.0,0.8,73751.5,12.4,13.7,64610.2,2.0,00:36:40,5.9,6.8,51.9,51.9,3.9,20,29.5,1794.7,2048.7,1.4,51.7,60.0,182.7,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,41,106,1822,645,710,12
5,6,36.6,0.9,79505.5,13.5,14.6,69407.0,2.0,00:38:02,6.4,6.1,52.6,56.5,3.7,19,30.5,1826.5,2092.2,1.5,52.0,52.6,187.7,https://img1.famulei.com/z/6300992/p/195/3010222259203_100X100.png,VG,40,93,1684,623,670,10
6,7,30.4,0.5,71169.5,14.3,13.1,60492.7,1.4,00:34:34,7.0,5.1,36.2,34.9,3.0,17,30.0,1779.2,2093.2,1.1,39.2,29.4,167.5,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,21,60,1306,614,563,5
7,8,35.7,0.6,80059.9,16.7,14.3,68905.9,2.1,00:39:14,7.4,5.6,36.8,51.3,2.9,16,29.6,1766.8,2052.8,1.4,48.8,25.0,178.4,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,25,82,1391,650,557,4
8,9,32.3,0.7,73107.2,16.1,14.0,66107.9,1.9,00:37:08,6.4,5.9,46.3,31.6,2.8,16,29.7,1786.7,1975.9,1.5,46.1,50.0,174.2,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,25,71,1227,611,532,8
9,10,34.2,0.7,82912.1,17.1,13.6,69797.1,1.9,00:39:52,7.9,5.3,38.2,35.9,2.8,16,30.2,1789.7,2126.0,1.4,43.5,31.2,175.6,https://img1.famulei.com/z/0/p/171/0411202664506_100X100.png,NB,26,74,1334,666,531,5
10,11,30.8,0.6,72859.3,15.8,13.0,63362.1,1.8,00:36:17,7.2,5.5,44.0,50.0,2.7,17,29.2,1760.1,2023.9,1.3,46.4,41.2,172.2,https://img1.famulei.com/z/0/p/171/0410340274793_100X100.png,GT,22,70,1230,630,520,7
11,12,24.5,0.5,63571.9,19.0,10.9,57056.7,1.4,00:33:38,7.7,4.2,40.0,41.0,1.8,16,29.3,1729.0,1926.4,1.3,38.5,6.2,152.9,https://img1.famulei.com/z/0/p/1612/2915435789273_100X100.png,SAT,20,55,956,740,426,1
