,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.1,0.9,69338.1,10.8,14.0,63628.9,1.8,00:34:34,5.4,7.6,53.8,42.9,4.6,19,31.8,1871.4,2039.4,1.3,51.7,63.2,181.3,https://img1.famulei.com/z/5688126/p/191/2115452229435_100X100.png,C9,43,90,1770,528,688,12
1,2,37.4,1.0,80338.1,11.5,14.3,66924.7,2.5,00:35:59,5.1,8.3,60.3,44.9,4.5,20,32.2,1912.1,2295.4,1.4,64.2,80.0,190.4,https://img1.famulei.com/z/5688126/p/191/2115455718930_100X100.png,TSM,47,122,1833,562,701,16
2,3,35.2,0.8,72717.0,12.2,15.0,63677.7,1.7,00:35:15,5.6,6.9,50.0,57.9,4.0,21,30.2,1819.4,2077.6,1.3,49.5,66.7,184.0,https://img1.famulei.com/z/5688126/p/191/2115453183129_100X100.png,CLG,43,99,2006,698,855,14
3,4,34.2,1.0,74399.0,12.0,14.6,64831.0,2.0,00:34:43,5.1,7.5,62.5,59.6,4.0,20,32.1,1906.8,2188.2,1.4,60.3,75.0,185.2,https://img1.famulei.com/z/0/p/1612/2915520666951_100X100.png,IMT,50,105,1781,624,760,15
4,5,29.0,0.8,64826.7,12.2,11.1,61188.7,1.9,00:34:30,6.2,6.3,54.3,37.1,3.2,21,30.9,1799.7,1906.7,1.3,53.0,57.1,163.6,https://img1.famulei.com/z/0/p/1612/2915513967563_100X100.png,DIG,51,116,1799,756,688,12
5,6,27.0,0.7,69528.5,11.7,10.8,66578.4,1.7,00:37:22,6.9,5.4,43.8,50.0,3.2,19,33.0,1799.4,1879.1,1.7,48.1,42.1,163.9,https://img1.famulei.com/z/0/p/1612/2915515950865_100X100.png,ENVY,35,90,1403,609,560,8
6,7,28.4,0.7,64987.6,12.8,11.4,60572.0,1.4,00:34:59,6.8,5.2,49.2,50.0,3.1,18,31.2,1781.5,1911.4,1.4,42.5,22.2,165.7,https://img1.famulei.com/z/0/p/1612/2915533521775_100X100.png,P1,31,65,1306,588,526,4
7,8,25.6,0.5,65267.6,12.2,10.7,60296.6,1.3,00:35:19,8.0,5.2,33.3,63.6,2.9,18,30.8,1722.8,1864.8,1.2,38.5,22.2,161.0,https://img1.famulei.com/z/554377/p/195/1418252471762_100X100.png,TL,21,57,1128,538,471,4
8,9,20.7,0.7,68520.9,13.2,9.8,61217.5,1.6,00:35:22,7.5,5.5,42.0,58.1,2.3,18,31.3,1749.1,1957.7,1.2,44.4,27.8,149.8,https://img1.famulei.com/z/5688126/p/191/2115454032532_100X100.png,FOX,29,67,888,567,423,5
9,10,25.6,0.7,72242.0,16.0,11.3,63348.9,1.5,00:36:17,7.9,5.3,44.9,38.6,2.2,18,31.3,1759.7,2006.7,1.2,41.9,33.3,159.6,https://img1.famulei.com/z/5688126/p/191/2115453610358_100X100.png,FLY,31,67,1126,706,496,6
