,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,36.6,1.3,72601.6,12.0,17.1,68217.4,1.8,00:35:59,3.9,8.5,78.8,43.8,4.4,15,32.1,1949.1,2074.3,1.3,59.2,80.0,184.7,https://img1.famulei.com/z/0/p/1612/2915532829310_100X100.png,UOL,41,58,1172,385,547,12
1,2,29.0,1.1,75751.1,10.0,13.2,71162.0,2.3,00:37:47,4.5,8.4,66.1,47.1,4.2,15,34.0,1923.3,2047.3,1.4,59.5,93.3,170.6,https://img1.famulei.com/z/5688126/p/191/2115401354868_100X100.png,G2,37,78,986,340,448,14
2,3,30.4,0.7,69363.1,10.7,12.5,68045.2,2.2,00:38:24,6.5,6.4,43.8,50.0,4.0,16,31.7,1790.7,1825.3,1.6,56.8,56.2,166.1,https://img1.famulei.com/z/5688126/p/191/2115401833676_100X100.png,MSF,28,88,1214,427,500,9
3,4,34.2,0.9,76701.8,12.3,16.1,66183.0,2.4,00:35:47,5.0,7.5,60.4,60.6,4.0,14,31.6,1890.9,2191.5,1.3,70.5,71.4,181.4,https://img1.famulei.com/z/0/p/1612/2915380726253_100X100.png,H2K,29,79,1129,407,531,10
4,5,27.6,0.8,69824.4,10.5,12.6,66438.3,1.8,00:37:04,6.5,6.8,46.3,60.0,3.8,16,31.6,1795.6,1887.1,1.2,50.4,50.0,167.1,https://img1.famulei.com/z/5688126/p/191/2115400974383_100X100.png,FNC,31,71,1104,419,503,8
5,6,27.2,0.6,68585.1,13.1,12.2,63119.0,1.2,00:34:56,5.8,6.4,43.9,40.6,3.0,14,32.9,1856.4,2017.2,1.4,37.9,50.0,164.4,https://img1.famulei.com/z/5688126/p/191/2115403976419_100X100.png,SPY,18,39,872,420,390,7
6,7,27.0,0.6,79899.4,13.2,11.6,69347.8,1.7,00:39:34,7.2,6.4,34.5,48.4,2.9,13,32.3,1778.1,2048.7,1.4,43.8,46.2,168.8,https://img1.famulei.com/z/0/p/1612/2915524618347_100X100.png,ROC,19,53,838,410,361,6
7,8,24.3,0.5,64542.4,12.8,11.4,62146.6,1.2,00:35:57,7.5,5.6,35.6,63.3,2.7,13,31.7,1775.6,1844.1,1.2,37.1,23.1,154.8,https://img1.famulei.com/z/5688126/p/191/2115404434372_100X100.png,VIT,16,36,728,383,342,3
8,9,19.8,0.6,60036.2,15.5,9.3,58904.3,1.1,00:35:26,8.5,3.9,42.5,48.3,1.8,13,31.2,1683.0,1715.3,1.3,32.3,15.4,140.6,https://img1.famulei.com/z/0/p/1612/2915490149059_100X100.png,GIA,17,31,575,449,271,2
9,10,16.8,0.6,65315.7,18.7,8.2,59759.2,1.4,00:36:30,9.5,2.6,44.4,32.0,1.3,13,31.2,1660.0,1814.3,1.3,42.7,0.0,135.2,https://img1.famulei.com/z/5688126/p/191/2115402255657_100X100.png,OG,16,35,419,467,206,0
