,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,37.2,1.0,72004.8,10.4,15.3,64792.6,2.0,00:35:52,4.6,7.7,65.2,50.0,5.0,18,30.6,1851.2,2057.3,1.4,58.3,77.8,180.3,https://img1.famulei.com/z/5688126/p/191/2116135245783_100X100.png,WE,43,88,1636,459,672,14
1,2,30.2,0.6,64769.7,9.3,13.6,62002.1,1.9,00:34:38,4.9,7.3,50.9,63.0,4.7,18,31.4,1823.6,1905.0,1.5,56.4,72.2,169.1,https://img1.famulei.com/z/5688126/p/191/2116133076803_100X100.png,RNG,29,88,1391,429,627,13
2,3,33.9,0.9,74701.7,11.9,14.6,66305.8,2.3,00:36:10,4.9,7.6,63.2,59.6,4.0,19,30.6,1841.8,2075.0,1.5,63.4,73.7,180.4,https://img1.famulei.com/z/5688126/p/191/2116130822405_100X100.png,EDG,48,118,1763,621,760,14
3,4,36.4,0.7,80430.2,13.1,15.9,68965.6,2.1,00:38:00,6.0,6.3,45.2,61.9,3.9,17,31.0,1814.9,2116.6,1.5,55.6,47.1,187.1,https://img1.famulei.com/z/6306534/p/195/3010180246279_100X100.png,IG,28,89,1528,552,667,8
4,5,31.8,0.9,68321.4,11.7,12.6,63117.1,1.7,00:35:37,6.0,6.2,62.3,59.5,3.8,17,31.2,1803.3,1952.0,1.3,45.8,52.9,174.8,https://img1.famulei.com/z/6300992/p/195/2315324930510_100X100.png,JDG,38,71,1337,491,531,9
5,6,32.8,0.7,80819.1,13.8,13.4,67264.2,1.9,00:37:42,6.4,6.2,44.2,41.7,3.3,18,31.9,1818.0,2184.3,1.7,48.7,50.0,182.5,https://img1.famulei.com/z/5688126/p/191/2116130359968_100X100.png,BLG,34,91,1575,661,644,9
6,7,33.5,0.8,76957.5,15.1,14.8,69318.1,2.4,00:38:19,6.2,6.3,47.6,49.0,3.1,19,30.8,1824.2,2025.2,1.4,57.4,52.6,179.1,https://img1.famulei.com/z/5688126/p/191/2116132693615_100X100.png,OMG,40,120,1711,772,754,10
7,8,27.4,0.7,70315.1,14.1,12.1,65231.7,1.6,00:37:13,7.2,5.4,42.7,50.0,2.7,18,31.5,1763.0,1900.4,1.4,42.9,38.9,161.7,https://img1.famulei.com/z/0/p/171/0411202664506_100X100.png,NB,32,76,1316,678,582,7
8,9,25.4,0.8,73648.0,14.1,11.2,66866.2,1.7,00:37:12,7.3,5.8,49.2,47.4,2.6,16,32.4,1807.2,1990.5,1.7,44.8,43.8,166.8,https://img1.famulei.com/z/6300992/p/195/2210263622033_100X100.png,LNG,30,64,964,535,427,7
9,10,22.8,0.5,65108.1,13.3,10.4,62268.1,1.5,00:35:48,6.9,5.0,39.6,37.8,2.5,16,32.8,1779.1,1860.2,1.5,42.2,31.2,153.9,https://img1.famulei.com/z/6300992/p/195/3010222259203_100X100.png,VG,19,54,844,492,386,5
10,11,25.5,0.6,66153.7,16.6,12.6,60587.7,1.4,00:34:20,6.8,5.2,45.1,31.6,2.3,16,31.5,1782.0,1945.7,1.5,38.5,25.0,163.6,https://img1.famulei.com/z/6300992/p/195/2210360410675_100X100.png,LGD,23,52,969,629,479,4
11,12,23.4,0.6,72494.1,17.6,11.6,64037.4,1.4,00:37:36,8.1,4.8,41.4,39.5,1.9,16,31.4,1730.7,1959.3,1.3,37.8,25.0,157.5,https://img1.famulei.com/z/0/p/171/0410340274793_100X100.png,GT,24,54,889,667,439,4
