,RANK,AVERAGE_ASSISTS,AVERAGE_BIGDRAGON,AVERAGE_CHAMPIONS,AVERAGE_DEATHS,AVERAGE_KILLS,AVERAGE_MONEY,AVERAGE_SMALLDRAGON,AVERAGE_TIME,AVERAGE_TOWER_FAIL,AVERAGE_TOWER_SUCCESS,BIGDRAGON_RATE,FIRSTBLOODKILL,KDA,MACTH_TIMES,MINUTE_HITS,MINUTE_MONEY,MINUTE_OUTPUT,MINUTE_WARDSKILLED,SMALLDRAGON_RATE,VICTORY_RATE,F_SCORE,TEAM_IMAGE,TEAM_NAME,TOTAL_BIGDRAGON,TOTAL_SMALLDRAGON,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,1,30.9,1.2,74662.0,6.5,12.4,72670.7,2.6,00:36:38,2.8,8.8,73.0,59.1,6.6,19,39.3,2018.6,2073.9,2.1,67.5,89.5,194.2,https://img1.famulei.com/z/5688126/p/191/2116103381538_100X100.png,KZ,54,114,1361,287,544,17
1,2,23.9,1.3,65768.7,7.0,8.9,71784.2,2.1,00:37:33,4.7,7.2,70.0,55.1,4.6,20,39.2,1940.1,1777.5,2.4,56.2,70.0,172.9,https://img1.famulei.com/z/5688126/p/191/2116084878097_100X100.png,AF,63,104,1169,345,434,14
2,3,24.9,0.8,68752.0,7.5,9.7,67811.0,2.2,00:36:10,4.9,7.2,53.3,64.7,4.5,20,37.8,1883.6,1909.8,2.1,60.3,70.0,173.0,https://img1.famulei.com/z/5688126/p/191/2116102854228_100X100.png,KT,40,111,1272,385,493,14
3,4,25.8,0.9,75527.4,8.7,9.5,71710.2,2.2,00:38:57,5.8,6.2,47.4,35.8,4.0,20,38.0,1887.1,1987.6,2.1,52.5,50.0,177.6,https://img1.famulei.com/z/6300992/p/196/0515113293795_100X100.png,SKT,46,116,1370,461,505,10
4,5,25.0,0.8,78040.3,9.4,9.8,73586.8,1.9,00:40:34,6.9,6.0,41.9,50.0,3.7,18,37.7,1839.7,1951.0,2.0,44.5,38.9,170.8,https://img1.famulei.com/z/5688126/p/191/2116102328857_100X100.png,JAG,36,85,1102,414,431,7
5,6,21.2,1.1,69728.1,8.8,8.5,71898.0,1.5,00:39:50,7.4,5.4,57.6,52.3,3.3,18,37.1,1843.5,1787.9,2.1,38.1,33.3,165.2,https://img1.famulei.com/z/0/p/171/1618102315400_100X100.png,bbq,49,67,932,385,375,6
6,7,24.0,0.8,68904.8,10.1,9.2,67800.1,1.8,00:37:17,5.9,6.4,46.8,57.8,3.2,18,36.3,1832.4,1862.3,1.9,49.7,50.0,167.0,https://img1.famulei.com/z/5688126/p/191/2116101827686_100X100.png,HLE,37,81,1081,454,413,9
7,8,19.0,0.6,70678.6,10.4,7.6,68192.8,1.9,00:38:06,6.9,5.3,36.8,42.6,2.5,19,37.5,1794.5,1860.0,2.3,50.8,47.4,160.5,https://img1.famulei.com/z/5688126/p/191/2116100941063_100X100.png,GEN,28,90,893,491,356,9
8,9,19.8,0.7,72861.5,11.3,7.7,66012.5,1.8,00:37:04,7.8,4.2,37.7,42.5,2.4,18,36.2,1784.1,1969.2,2.0,45.1,33.3,162.9,https://img1.famulei.com/z/0/p/1612/2915480875853_100X100.png,MVP,29,73,793,453,306,6
9,10,17.6,0.5,60598.1,11.7,7.1,62307.4,1.0,00:36:49,8.4,3.4,31.3,39.0,2.1,18,36.1,1730.8,1683.3,1.8,30.4,11.1,150.3,https://img1.famulei.com/z/0/p/171/1115433184967_100X100.png,KDM,21,42,723,478,292,2
